"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30067","GA","""Atlanta-Sandy Springs-Roswell, GA""",2227,9,12.2047244094488,50.5,2.65734265734266,2.8898426323319
"Zip","30075","GA","""Atlanta-Sandy Springs-Roswell, GA""",2234,9,15.4411764705882,77,8.88111888111888,2.8898426323319
"Zip","30144","GA","""Atlanta-Sandy Springs-Roswell, GA""",2285,9,8.0188679245283,54,0.13986013986014,2.8898426323319
"Zip","30319","GA","""Atlanta-Sandy Springs-Roswell, GA""",2347,9,14.5985401459854,68,7.9020979020979,2.8898426323319
"Zip","30114","GA","""Atlanta-Sandy Springs-Roswell, GA""",2432,9,11.3978494623656,77,7.48251748251748,2.8898426323319
"Zip","30016","GA","""Atlanta-Sandy Springs-Roswell, GA""",2589,9,7.45341614906832,91,4.89510489510489,2.8898426323319
"Zip","30032","GA","""Atlanta-Sandy Springs-Roswell, GA""",2596,9,13.8047138047138,66,6.99300699300699,2.8898426323319
"Zip","30236","GA","""Atlanta-Sandy Springs-Roswell, GA""",2663,9,8.67579908675799,83.5,5.8041958041958,2.8898426323319
"Zip","30093","GA","""Atlanta-Sandy Springs-Roswell, GA""",2721,9,8.60215053763441,56,0.629370629370629,2.8898426323319
"Zip","30064","GA","""Atlanta-Sandy Springs-Roswell, GA""",2807,9,9.72222222222222,72.5,5.38461538461539,2.8898426323319
"Zip","30309","GA","""Atlanta-Sandy Springs-Roswell, GA""",2890,9,8.64553314121038,53.5,0.48951048951049,2.8898426323319
"Zip","30518","GA","""Atlanta-Sandy Springs-Roswell, GA""",2911,9,10.7579462102689,64,4.12587412587413,2.8898426323319
"Zip","30076","GA","""Atlanta-Sandy Springs-Roswell, GA""",2992,9,11.7073170731707,58,3.4965034965035,2.8898426323319
"Zip","30034","GA","""Atlanta-Sandy Springs-Roswell, GA""",3010,9,16.600790513834,92,9.86013986013986,2.8898426323319
"Zip","30097","GA","""Atlanta-Sandy Springs-Roswell, GA""",3031,9,7.84313725490196,88,5.10489510489511,2.8898426323319
"Zip","30324","GA","""Atlanta-Sandy Springs-Roswell, GA""",3034,9,10.0649350649351,60,2.16783216783217,2.8898426323319
"Zip","30339","GA","""Atlanta-Sandy Springs-Roswell, GA""",3149,9,12.8571428571429,68,6.78321678321678,2.8898426323319
"Zip","30350","GA","""Atlanta-Sandy Springs-Roswell, GA""",3182,9,10.7692307692308,63,3.84615384615385,2.8898426323319
"Zip","30328","GA","""Atlanta-Sandy Springs-Roswell, GA""",3297,9,15.7068062827225,58,5.73426573426573,2.8898426323319
"Zip","30519","GA","""Atlanta-Sandy Springs-Roswell, GA""",3340,9,10.2040816326531,57,1.74825174825175,2.8898426323319
"Zip","30039","GA","""Atlanta-Sandy Springs-Roswell, GA""",3351,9,8.05860805860806,63,1.3986013986014,2.8898426323319
"Zip","30120","GA","""Atlanta-Sandy Springs-Roswell, GA""",3359,9,10.4790419161677,67,4.82517482517482,2.8898426323319
"Zip","30680","GA","""Atlanta-Sandy Springs-Roswell, GA""",3406,9,7.61904761904762,69,2.37762237762238,2.8898426323319
"Zip","30126","GA","""Atlanta-Sandy Springs-Roswell, GA""",3464,9,10.0323624595469,74.5,6.01398601398601,2.8898426323319
"Zip","30228","GA","""Atlanta-Sandy Springs-Roswell, GA""",3473,9,11.244019138756,103,8.74125874125874,2.8898426323319
"Zip","30134","GA","""Atlanta-Sandy Springs-Roswell, GA""",3534,9,9.72222222222222,74,5.59440559440559,2.8898426323319
"Zip","30019","GA","""Atlanta-Sandy Springs-Roswell, GA""",3585,9,16.3157894736842,75,9.09090909090909,2.8898426323319
"Zip","30115","GA","""Atlanta-Sandy Springs-Roswell, GA""",3590,9,10.9090909090909,84,8.11188811188811,2.8898426323319
"Zip","30038","GA","""Atlanta-Sandy Springs-Roswell, GA""",3598,9,9.58549222797927,91.5,7.2027972027972,2.8898426323319
